Date,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:32 PM - Messages to this group are now secured with end-to-end encryption. Tap for more info.,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017," 10:32 PM - Siddarth Chugh created group ""The All New CSE""",,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:32 PM - Siddarth Chugh added you,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017," 10:33 PM - Siddarth Chugh changed the subject from ""The All New CSE"" to ""The All New CSE Official""",,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Maninder Singh: ye kon sa grp h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Siddarth Chugh changed this group's icon,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: ??,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Siddarth Chugh: New Grouo,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Prabhdeep: Same,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017," 10:34 PM - Siddarth Chugh changed the subject from ""The All New CSE Official"" to ""CSE Official""",,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Siddarth Chugh: New group,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Maninder Singh: kiske liya,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Prabhdeep: Puri cse hai shayad isme,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:34 PM - Prabhdeep: 1 bhi and 2 bhi,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:35 PM - Siddarth Chugh: Official kiske loye jota Hai Bhai??,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:35 PM - Chanpreet: Yup,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:35 PM - Gurparsad: Hi everyone..,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:35 PM - Siddarth Chugh: Hi,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:35 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: You deleted this message,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: bhai suri haa 26 ko aa jayanga,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Gurparsad: Ab yahan mat shuru hoiyo,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: 5,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: 4,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: e,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Gurparsad: Kithhe?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: 3,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: 1,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Maninder Singh: 😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Gurparsad: 🤣🤣😂🤣,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:36 PM - Gurparsad: Kahan.,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:37 PM - Maninder Singh: bhai ye grp.kis liya h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:37 PM - Maninder Singh: 🤦🏻‍♂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:37 PM - Aarja: What’s this group and why?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:37 PM - Prabhdeep left,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:37 PM - Gurparsad: Yeh kya tha bhaii @918527174620 ..,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahan aane ki baat kar raha hai,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Aarja left,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Siddarth Chugh added Prabhdeep,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Siddarth Chugh added Aarja,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Siddarth Chugh: Plz don't leave this group,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Siddarth Chugh: Sir ke kehne par hi banaya hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Siddarth Chugh: Kuch reason hoga,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Maninder Singh: ok,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Gurparsad: Cse ke hod?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Gurparsad: 🤣🤣😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Maninder Singh: 😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Vyom: Chugh Bhyya ... Ye kya h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:38 PM - Prabhdeep: Sir?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - Siddarth Chugh: Yes sir,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Which sir.?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - Prabhdeep: Kaunse?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - Gurparsad: Bhaii yeh subject ke groups mein hod aur puuri cse including 3rd and 4th year bhi hoti hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - Siddarth Chugh: Sir,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - Gurparsad: Like ece deptt feedback,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - Maninder Singh: ok,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:39 PM - Maninder Singh: 😂😂Sahu sir ki copy,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:40 PM - Siddarth Chugh: Yehi students add karne ko bole Maine Kar diye,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:40 PM - Siddarth Chugh: Baaki nahi pata,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:40 PM - Gurparsad: Oh for theek hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:40 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Abhe kaunse sir??,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:40 PM - Gurparsad: Oye sir ko bhi add karde,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:40 PM - Siddarth Chugh: Hmm,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:41 PM - Maninder Singh: stable ho jao phllee,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:41 PM - Siddarth Chugh: Anyone plz send harjots no,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:41 PM - Maninder Singh: @917838141473  bhai h ❤❤❤❤❤❤❤❤❤❤❤,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:42 PM - Siddharth Gupta: Bhai ye grp kis liye and konse sir ke khne prrr,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:42 PM - Siddharth Gupta: 🤨,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:42 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Harjot.vcf (file attached),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:42 PM - Maninder Singh: bhai sun suri ko bhi admin bna de,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:42 PM - Gurparsad: Bhaiii saaab english🤣😂🤣😂🤣,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:42 PM - Siddharth Gupta: Suri?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:42 PM - Maninder Singh: 😂😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Gurparsad: Gurprasad,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Maninder Singh: ye kon h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Maninder Singh: 🤣🤣,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Maninder Singh: 🤟🏻,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Siddharth Gupta: Accha,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Gurparsad: ✌🏻✌🏻,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Gurparsad: Reshma🤣🤣😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Chanpreet: 😂😂😂😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:43 PM - Gurparsad: 🤣😂😂😂🤣😂🤣,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:44 PM - Maninder Singh: 🤣🤣 kamla,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:44 PM - Maninder Singh: 😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:44 PM - Siddarth Chugh added Harjot,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:45 PM - Maninder Singh: sid cse 1 ke kafhi students nhi h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:45 PM - Siddarth Chugh: Bhai yehi bole the,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:45 PM - Maninder Singh: that's why kisi cse 1 vala ko admin bna,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:46 PM - Maninder Singh: ?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:46 PM - Chanpreet: Yup Suri ko Bana de admin,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:46 PM - Aarja left,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:46 PM - Siddarth Chugh: Hmm,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:46 PM - Maninder Singh: bhai confusion ho rahi h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:46 PM - Gurparsad: Shhhhhhh,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:46 PM - Gurparsad: Sab chup ab..,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:49 PM - Prabhdeep: Bhai reason toh bata do ek baar kyu,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:49 PM - Gurparsad: Wait yaar,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:49 PM - Siddarth Chugh: Kya reason,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:49 PM - Gurparsad: Abhi sir bhi add honge,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:49 PM - Gurparsad: Woh khud batayeinge,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:49 PM - Siddarth Chugh: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Prabhdeep: Kyu hai yeh group,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Siddarth Chugh: Kal,,,,,,,,,,,,,,,,,,,,,,,,,,
